rank,gamma_method,epsilon_scale,delta_k,delta_agg,back_face_threshold,mean_f1,mean_precision,mean_recall,mean_f2,std_f1,min_f1
225,p60,0.95,7,p99,-1e-06,0.9157805396,0.8684840737,0.9722792089,0.9483409429,0.0650418191,0.0071076913
226,p60,0.85,4,max,-1e-06,0.9157626360,0.8708612275,0.9693785730,0.9466644757,0.0648341722,0.0079666040
227,p75,0.85,5,max,-1e-06,0.9157591238,0.8711321173,0.9691800869,0.9465126193,0.0655375531,0.0083610989
228,p25,1.1,4,p99,-1e-06,0.9156404790,0.8676073297,0.9726319382,0.9485754359,0.0629274752,0.0048510982
229,p30,1.0,5,p99,-1e-06,0.9155982715,0.8675340808,0.9727113628,0.9485877843,0.0633414835,0.0047161866
230,p60,1.1,5,p99,-1e-06,0.9155099092,0.8679780332,0.9723575934,0.9482599123,0.0652527576,0.0069677335
231,p40,0.95,6,p99,-1e-06,0.9153576051,0.8673060708,0.9726078355,0.9483947460,0.0641053110,0.0057245557
232,p25,0.9,6,p99,-1e-06,0.9153370991,0.8669403761,0.9728357103,0.9485528383,0.0631938989,0.0046458389
233,p30,0.85,7,p99,-1e-06,0.9152423432,0.8668746503,0.9727788837,0.9484666074,0.0635749325,0.0044471397
234,p75,1.05,6,p99,-1e-06,0.9151435078,0.8675126135,0.9723616857,0.9480485002,0.0664184220,0.0068446712
235,p60,1.0,6,p99,-1e-06,0.9151382666,0.8671634463,0.9725751816,0.9482201082,0.0653966743,0.0068126521
236,median,0.9,7,p99,-1e-06,0.9151136587,0.8669134081,0.9726982425,0.9483133537,0.0646270706,0.0066399316
237,p30,1.1,4,p99,-1e-06,0.9150865548,0.8666046540,0.9727855722,0.9484034044,0.0635637395,0.0055672938
238,median,1.05,5,p99,-1e-06,0.9150375309,0.8667984902,0.9726828302,0.9482710608,0.0647008839,0.0068497662
239,mean,0.9,7,p99,-1e-06,0.9149730692,0.8666904033,0.9726972353,0.9482431702,0.0648906104,0.0057302816
240,mean,1.05,5,p99,-1e-06,0.9149649797,0.8667139888,0.9726567910,0.9482173259,0.0648888759,0.0063923029
241,p30,0.9,6,p99,-1e-06,0.9147155544,0.8658379630,0.9729929628,0.9483489444,0.0638669352,0.0053626491
242,p75,0.85,4,max,-1e-06,0.9146223745,0.8687304176,0.9698920728,0.9463852467,0.0666471856,0.0081047969
243,median,0.95,6,p99,-1e-06,0.9145211245,0.8657270390,0.9729272951,0.9481786900,0.0649918359,0.0068111861
244,p25,0.95,5,p99,-1e-06,0.9144509879,0.8652767210,0.9730890391,0.9482963885,0.0636816459,0.0057096796
245,p40,1.0,5,p99,-1e-06,0.9144339544,0.8655166357,0.9729496104,0.9481673448,0.0647424010,0.0063654146
246,p75,0.95,7,p99,-1e-06,0.9143513177,0.8659393408,0.9727176935,0.9478834202,0.0669998532,0.0074691736
247,mean,0.95,6,p99,-1e-06,0.9143247120,0.8654495196,0.9728912429,0.9480631072,0.0652305959,0.0065722454
248,p40,0.85,7,p99,-1e-06,0.9141860353,0.8649899532,0.9730937026,0.9481355930,0.0648877933,0.0060894890
249,p25,1.05,4,p99,-1e-06,0.9141667658,0.8647349085,0.9731575589,0.9482073352,0.0639167489,0.0050298437
250,p75,1.1,5,p99,-1e-06,0.9140650142,0.8654436365,0.9727134144,0.9477541634,0.0671733368,0.0068186935
251,p60,1.05,5,p99,-1e-06,0.9140563224,0.8651340314,0.9728908971,0.9479017686,0.0661593216,0.0068510858
252,p60,0.9,7,p99,-1e-06,0.9140050258,0.8650613985,0.9728699913,0.9478678272,0.0661884722,0.0076878351
253,p40,1.1,4,p99,-1e-06,0.9139885229,0.8646439508,0.9730900383,0.9480482348,0.0649469496,0.0059431439
254,p30,0.95,5,p99,-1e-06,0.9138550676,0.8641952068,0.9732405690,0.9481020452,0.0643866406,0.0052800428
255,p40,0.9,6,p99,-1e-06,0.9135872127,0.8638624731,0.9732333164,0.9479454662,0.0653045401,0.0053536021
256,p30,1.05,4,p99,-1e-06,0.9135783476,0.8636725804,0.9733332256,0.9480284960,0.0645637388,0.0057974878
257,p75,1.0,6,p99,-1e-06,0.9135445056,0.8644114735,0.9729289263,0.9476378094,0.0674904526,0.0064162202
258,median,1.0,5,p99,-1e-06,0.9135118060,0.8638386376,0.9732516988,0.9478950607,0.0657708331,0.0073892431
259,p25,0.85,6,p99,-1e-06,0.9134341101,0.8632963697,0.9734250702,0.9480275588,0.0643610606,0.0048795161
260,p60,0.95,6,p99,-1e-06,0.9134081856,0.8638405288,0.9731796261,0.9477680417,0.0666651065,0.0074751901
261,mean,1.0,5,p99,-1e-06,0.9133833111,0.8636503182,0.9732334511,0.9478211888,0.0659861323,0.0068020537
262,median,0.85,7,p99,-1e-06,0.9131972427,0.8632498457,0.9733172470,0.9477910695,0.0659478660,0.0069831946
263,mean,0.85,7,p99,-1e-06,0.9131316596,0.8631496412,0.9733406518,0.9477684326,0.0661033953,0.0072620216
264,median,1.1,4,p99,-1e-06,0.9131022670,0.8630411123,0.9733720207,0.9477814042,0.0659454607,0.0070889698
265,mean,1.1,4,p99,-1e-06,0.9129105749,0.8627730721,0.9733358690,0.9476684541,0.0661727333,0.0072307993
266,p40,0.95,5,p99,-1e-06,0.9127718566,0.8623002155,0.9735293586,0.9477407515,0.0657809865,0.0067694128
267,p30,0.85,6,p99,-1e-06,0.9127655279,0.8621591940,0.9735309470,0.9477714217,0.0651001787,0.0055899381
268,median,0.9,6,p99,-1e-06,0.9126436323,0.8622245411,0.9734512161,0.9476142465,0.0663870263,0.0070207372
269,p25,0.9,5,p99,-1e-06,0.9126352088,0.8617805643,0.9737053202,0.9478194397,0.0649183091,0.0054041432
270,p75,1.05,5,p99,-1e-06,0.9125497642,0.8624991981,0.9733244780,0.9473967348,0.0683096353,0.0076594115
271,p25,1.0,4,p99,-1e-06,0.9125446580,0.8616125845,0.9737107907,0.9477839313,0.0649251239,0.0055899381
272,p75,0.9,7,p99,-1e-06,0.9125268386,0.8625094495,0.9732511741,0.9473474102,0.0683051412,0.0079795723
273,mean,0.9,6,p99,-1e-06,0.9125198564,0.8620050593,0.9735024347,0.9475805754,0.0665288130,0.0071007459
274,p40,1.05,4,p99,-1e-06,0.9125069859,0.8617946629,0.9736165137,0.9476693186,0.0659020982,0.0068221326
275,p60,1.0,5,p99,-1e-06,0.9123975791,0.8619421630,0.9734826033,0.9474746654,0.0673388150,0.0071797173
276,p60,0.85,7,p99,-1e-06,0.9121486475,0.8614911227,0.9735491322,0.9473950367,0.0675461762,0.0074413831
277,p30,0.9,5,p99,-1e-06,0.9120330448,0.8607765287,0.9737930857,0.9475812199,0.0656234437,0.0061245548
278,p60,1.1,4,p99,-1e-06,0.9119749156,0.8611981327,0.9735458598,0.9473163038,0.0676751056,0.0075430690
279,p30,1.0,4,p99,-1e-06,0.9119458372,0.8606160282,0.9737960801,0.9475467529,0.0655941065,0.0064937216
280,p75,0.95,6,p99,-1e-06,0.9118353053,0.8611792498,0.9734896434,0.9471662662,0.0687049770,0.0078800203
281,p40,0.85,6,p99,-1e-06,0.9117350582,0.8603356229,0.9738872415,0.9474637160,0.0665263136,0.0073974665
282,median,0.95,5,p99,-1e-06,0.9117290016,0.8605228774,0.9737275064,0.9473482330,0.0669627491,0.0077755459
283,mean,0.95,5,p99,-1e-06,0.9116772689,0.8604352796,0.9737632156,0.9473378363,0.0671463124,0.0075334459
284,p60,0.9,6,p99,-1e-06,0.9116159716,0.8604451823,0.9737495211,0.9472690951,0.0678240766,0.0081755182
285,median,1.05,4,p99,-1e-06,0.9114745846,0.8600196033,0.9738205023,0.9472882353,0.0670792965,0.0078671611
286,mean,1.05,4,p99,-1e-06,0.9114144324,0.8598988045,0.9738658768,0.9472799243,0.0672824764,0.0064065230
287,p40,0.9,5,p99,-1e-06,0.9109270526,0.8588744038,0.9740576399,0.9471891104,0.0670777685,0.0072473231
288,p75,1.0,5,p99,-1e-06,0.9109216194,0.8594586364,0.9737773818,0.9469059746,0.0693485992,0.0073378246
289,p40,1.0,4,p99,-1e-06,0.9108293776,0.8586889403,0.9740687555,0.9471556247,0.0670659132,0.0073503106
290,p25,0.95,4,p99,-1e-06,0.9108197154,0.8584198366,0.9741700413,0.9472553476,0.0660745596,0.0057577763
291,median,0.85,6,p99,-1e-06,0.9107527425,0.8586367552,0.9740965723,0.9471072746,0.0676375659,0.0078024246
292,p60,0.95,5,p99,-1e-06,0.9107349149,0.8588452757,0.9740016061,0.9469947914,0.0686085302,0.0080303368
293,p25,0.85,5,p99,-1e-06,0.9107313455,0.8582721813,0.9742017490,0.9472293171,0.0662072274,0.0062363166
294,mean,0.85,6,p99,-1e-06,0.9106986682,0.8585503570,0.9741035077,0.9470829588,0.0677590626,0.0070801017
295,p75,0.85,7,p99,-1e-06,0.9106512800,0.8589532376,0.9738909141,0.9468375752,0.0696940871,0.0078366934
296,p75,1.1,4,p99,-1e-06,0.9104951877,0.8586503915,0.9739388379,0.9467964876,0.0696275506,0.0081812461
297,p60,1.05,4,p99,-1e-06,0.9104811062,0.8583726365,0.9740384451,0.9469050450,0.0687215269,0.0070375654
298,p30,0.95,4,p99,-1e-06,0.9102812948,0.8574858486,0.9743254381,0.9470807753,0.0667245381,0.0067727512
299,p30,0.85,5,p99,-1e-06,0.9101026791,0.8571757250,0.9743292123,0.9470009646,0.0669132209,0.0053527177
300,p75,0.9,6,p99,-1e-06,0.9100910381,0.8579083211,0.9740711382,0.9466774931,0.0700746408,0.0081040332
301,median,0.9,5,p99,-1e-06,0.9099350530,0.8571683875,0.9742808427,0.9468322793,0.0682354130,0.0074619665
302,median,1.0,4,p99,-1e-06,0.9098751943,0.8570428485,0.9743139120,0.9468238098,0.0683088569,0.0073689607
303,mean,0.9,5,p99,-1e-06,0.9098724928,0.8570746514,0.9742853565,0.9468010709,0.0683983537,0.0065692020
304,mean,1.0,4,p99,-1e-06,0.9097973354,0.8569064536,0.9743467630,0.9468013406,0.0684074124,0.0073727401
305,p60,0.85,6,p99,-1e-06,0.9097517637,0.8569844817,0.9743243450,0.9467235348,0.0692765200,0.0081033173
306,p75,0.95,5,p99,-1e-06,0.9092271697,0.8563328604,0.9743079653,0.9464064120,0.0706900560,0.0082891143
307,p40,0.95,4,p99,-1e-06,0.9091946596,0.8556162708,0.9746312089,0.9467120391,0.0683390197,0.0067105433
308,p25,0.9,4,p99,-1e-06,0.9090241120,0.8551212800,0.9746615730,0.9467064084,0.0672644273,0.0066364413
309,p40,0.85,5,p99,-1e-06,0.9089871820,0.8553152748,0.9745971965,0.9465936185,0.0685137517,0.0071714692
310,p75,1.05,4,p99,-1e-06,0.9089354998,0.8557734204,0.9743875503,0.9463234553,0.0707854055,0.0085061138
311,p60,0.9,5,p99,-1e-06,0.9089315513,0.8555365939,0.9744921023,0.9464337386,0.0699624382,0.0075762359
312,p60,1.0,4,p99,-1e-06,0.9088563528,0.8553738117,0.9745184163,0.9464212549,0.0698119002,0.0086139143
313,p30,0.9,4,p99,-1e-06,0.9084434663,0.8541513415,0.9747952424,0.9464944053,0.0680682955,0.0073085582
314,p75,0.85,6,p99,-1e-06,0.9082016351,0.8544621510,0.9745548015,0.9460732073,0.0713431302,0.0087880582
315,median,0.95,4,p99,-1e-06,0.9081873630,0.8539557383,0.9747892348,0.9463059056,0.0695054791,0.0077460317
316,mean,0.95,4,p99,-1e-06,0.9081241596,0.8538726013,0.9747670960,0.9462609283,0.0696548723,0.0067576183
317,median,0.85,5,p99,-1e-06,0.9080717432,0.8537657235,0.9748011248,0.9462560712,0.0696394760,0.0075149662
318,mean,0.85,5,p99,-1e-06,0.9080245737,0.8537044663,0.9747871321,0.9462252857,0.0697222083,0.0076096688
319,p75,0.9,5,p99,-1e-06,0.9074426878,0.8531222242,0.9747417625,0.9458163139,0.0720491721,0.0083387784
320,p40,0.9,4,p99,-1e-06,0.9074204691,0.8524568801,0.9750347654,0.9461112587,0.0696563789,0.0076711628
321,p75,1.0,4,p99,-1e-06,0.9073632036,0.8529511973,0.9747870313,0.9458066022,0.0720807506,0.0079453755
322,p60,0.95,4,p99,-1e-06,0.9071826650,0.8523764269,0.9749342775,0.9458681304,0.0711331614,0.0087213830
323,p25,0.85,4,p99,-1e-06,0.9071763465,0.8518109406,0.9750993687,0.9460943507,0.0686406424,0.0071007459
324,p60,0.85,5,p99,-1e-06,0.9070785117,0.8521991741,0.9749616924,0.9458309067,0.0712705881,0.0085109046
325,p30,0.85,4,p99,-1e-06,0.9065774541,0.8508171112,0.9752260569,0.9458679046,0.0694739676,0.0074323014
326,median,0.9,4,p99,-1e-06,0.9064469498,0.8508600831,0.9751761250,0.9457125054,0.0707644624,0.0083084186
327,mean,0.9,4,p99,-1e-06,0.9063611754,0.8507334319,0.9751993391,0.9456746264,0.0710194089,0.0073924307
328,p75,0.95,4,p99,-1e-06,0.9057301315,0.8500383335,0.9751816689,0.9452571662,0.0733005426,0.0081086062
329,p75,0.85,5,p99,-1e-06,0.9056768651,0.8499560678,0.9752064483,0.9452412026,0.0734437163,0.0087535446
330,p40,0.85,4,p99,-1e-06,0.9055408198,0.8491335979,0.9754378544,0.9454582791,0.0710296193,0.0071645955
331,p60,0.9,4,p99,-1e-06,0.9054006012,0.8492378916,0.9753382343,0.9452499148,0.0725984275,0.0087174256
332,median,0.85,4,p99,-1e-06,0.9046298445,0.8476703953,0.9755906402,0.9450834758,0.0722426588,0.0082407292
333,mean,0.85,4,p99,-1e-06,0.9045641332,0.8476148616,0.9755437374,0.9450208449,0.0724056302,0.0085045180
334,p75,0.9,4,p99,-1e-06,0.9040507806,0.8470808571,0.9755712722,0.9446799773,0.0745308317,0.0088371526
335,p60,0.85,4,p99,-1e-06,0.9036688434,0.8461934965,0.9757308801,0.9446507433,0.0739001900,0.0081580077
336,p75,0.85,4,p99,-1e-06,0.9023578520,0.8441505415,0.9759328906,0.9440737476,0.0758867418,0.0094439568
