rank,gamma_method,epsilon_scale,delta_k,delta_agg,back_face_threshold,mean_f1,mean_precision,mean_recall,mean_f2,std_f1,min_f1
52,p40,0.85,7,max,-1e-06,0.9227936363,0.8872932262,0.9636762538,0.9465939204,0.0596632879,0.0041786546
53,p30,1.0,6,max,-1e-06,0.9227410419,0.8892798916,0.9612270286,0.9451583619,0.0595955724,0.0037048472
54,median,1.1,5,max,-1e-06,0.9227047213,0.8878397375,0.9627746138,0.9460383591,0.0596021941,0.0044475892
55,p60,0.9,7,max,-1e-06,0.9226509430,0.8873534162,0.9634293944,0.9463601022,0.0604451994,0.0052071006
56,p75,0.95,7,max,-1e-06,0.9226248223,0.8878408535,0.9628807986,0.9460066585,0.0610383534,0.0044471397
57,p60,1.1,6,max,-1e-06,0.9225601605,0.8897036797,0.9604610638,0.9446089900,0.0603895519,0.0056858089
58,median,1.05,6,max,-1e-06,0.9225532282,0.8889692834,0.9612117184,0.9450605285,0.0598564070,0.0051353086
59,mean,1.05,6,max,-1e-06,0.9225195977,0.8888987688,0.9612767946,0.9450741318,0.0600911589,0.0049259422
60,mean,1.1,5,max,-1e-06,0.9224986255,0.8875851083,0.9627285248,0.9459113752,0.0598669390,0.0050583395
61,p25,1.05,4,max,-1e-06,0.9224768920,0.8869231603,0.9634509469,0.9463324276,0.0594566652,0.0043897253
62,p25,1.0,5,max,-1e-06,0.9224764513,0.8867866264,0.9635904277,0.9464157525,0.0593732247,0.0050565445
63,p40,1.1,4,max,-1e-06,0.9224733318,0.8870123417,0.9633206822,0.9462499120,0.0595835494,0.0047427081
64,p30,1.1,7,p99,-1e-06,0.9224109557,0.8820981214,0.9690006685,0.9495120489,0.0593604657,0.0033726813
65,p40,1.05,5,max,-1e-06,0.9223633900,0.8867998479,0.9633132839,0.9462015020,0.0596130957,0.0045392954
66,p40,1.0,6,max,-1e-06,0.9223596618,0.8880075624,0.9619477252,0.9454041798,0.0597542835,0.0052224634
67,median,0.85,7,max,-1e-06,0.9223310791,0.8860484801,0.9642298091,0.9467010176,0.0601228498,0.0045567382
68,mean,0.85,7,max,-1e-06,0.9222980758,0.8858723924,0.9644176146,0.9467842650,0.0603190158,0.0041448665
69,p25,0.95,6,max,-1e-06,0.9222927716,0.8876212550,0.9622812070,0.9455720228,0.0596500317,0.0049271197
70,p30,1.05,4,max,-1e-06,0.9222081721,0.8861525922,0.9638009375,0.9464163892,0.0595368122,0.0049849768
71,p30,1.0,5,max,-1e-06,0.9221249943,0.8859406854,0.9638553680,0.9464135806,0.0596093714,0.0047073271
72,p30,0.95,6,max,-1e-06,0.9221072891,0.8869192651,0.9627434355,0.9457554536,0.0597481999,0.0051266277
73,p60,1.1,5,max,-1e-06,0.9220765131,0.8864915265,0.9632220752,0.9459942393,0.0604317144,0.0058430995
74,p60,1.05,6,max,-1e-06,0.9220233384,0.8875960847,0.9618537083,0.9451757390,0.0605378787,0.0059942056
75,p75,1.1,6,max,-1e-06,0.9219367812,0.8879124832,0.9614043477,0.9448540654,0.0612228050,0.0061603683
76,median,1.1,4,max,-1e-06,0.9219163381,0.8856054491,0.9638860422,0.9463239260,0.0600492815,0.0060473711
77,median,1.05,5,max,-1e-06,0.9219142856,0.8856305844,0.9638007756,0.9462778740,0.0599964443,0.0050226017
78,median,1.0,6,max,-1e-06,0.9219070397,0.8867114971,0.9625681635,0.9455578427,0.0601435531,0.0057824845
79,mean,1.05,5,max,-1e-06,0.9218375415,0.8854454471,0.9639123796,0.9463018165,0.0602018335,0.0056858089
80,p75,0.9,7,max,-1e-06,0.9218284324,0.8853293323,0.9642952363,0.9464610184,0.0615690453,0.0058104588
81,mean,1.1,4,max,-1e-06,0.9218219409,0.8854963928,0.9638506009,0.9462549392,0.0602860228,0.0053161065
82,p60,0.85,7,max,-1e-06,0.9217516443,0.8847205204,0.9647611215,0.9467219229,0.0609909533,0.0059695486
83,p25,1.05,7,p99,-1e-06,0.9217219565,0.8804612620,0.9695394107,0.9495202235,0.0596564192,0.0037812382
84,mean,1.0,6,max,-1e-06,0.9217172664,0.8864587878,0.9625230835,0.9454394068,0.0603676263,0.0051745573
85,p25,1.0,4,max,-1e-06,0.9216728775,0.8845600102,0.9645889881,0.9466345239,0.0597732284,0.0046402129
86,p40,1.0,5,max,-1e-06,0.9215924784,0.8845287966,0.9644417678,0.9465100329,0.0600473795,0.0050481255
87,p25,0.95,5,max,-1e-06,0.9215892428,0.8842628770,0.9647553317,0.9466959506,0.0597352159,0.0051006529
88,p40,1.1,7,p99,-1e-06,0.9215814517,0.8803987098,0.9694288592,0.9493753691,0.0602392492,0.0052438028
89,p40,1.05,4,max,-1e-06,0.9215651564,0.8845840245,0.9643328796,0.9464331933,0.0601127315,0.0046643683
90,p40,0.95,6,max,-1e-06,0.9215428087,0.8855487711,0.9632063132,0.9457669149,0.0602537879,0.0054716790
91,p25,0.9,6,max,-1e-06,0.9215409067,0.8851949997,0.9636042241,0.9460036571,0.0599221004,0.0053703137
92,p30,1.0,4,max,-1e-06,0.9214053343,0.8838358360,0.9649284719,0.9467086724,0.0599759639,0.0049049663
93,p30,1.05,7,p99,-1e-06,0.9213976975,0.8797336801,0.9698004247,0.9495218807,0.0598784106,0.0046658433
94,p60,1.05,5,max,-1e-06,0.9213061664,0.8842032934,0.9643546221,0.9463056369,0.0608900209,0.0053527177
95,p60,1.1,4,max,-1e-06,0.9212981985,0.8841961857,0.9643782639,0.9463110290,0.0609947334,0.0056927252
96,p30,0.95,5,max,-1e-06,0.9212444140,0.8834387904,0.9650235289,0.9466961361,0.0600009672,0.0048767272
97,p60,1.0,6,max,-1e-06,0.9212428946,0.8852310684,0.9630631906,0.9455251167,0.0610608221,0.0059578975
98,p30,0.9,6,max,-1e-06,0.9212233330,0.8843106444,0.9639907412,0.9460847884,0.0601350784,0.0046863857
99,p75,1.1,5,max,-1e-06,0.9212143951,0.8843998565,0.9640630917,0.9460699256,0.0615189343,0.0067563135
100,p75,1.05,6,max,-1e-06,0.9211724084,0.8855870493,0.9626071524,0.9452058200,0.0616289140,0.0066399316
101,median,1.0,5,max,-1e-06,0.9211427083,0.8832970882,0.9650406161,0.9466472932,0.0604478739,0.0062639523
102,median,1.05,4,max,-1e-06,0.9211313843,0.8834189890,0.9648809319,0.9465469920,0.0605698561,0.0053481298
103,p25,1.1,6,p99,-1e-06,0.9211076615,0.8789844557,0.9700856413,0.9495595530,0.0599559523,0.0045281465
104,median,0.95,6,max,-1e-06,0.9210557461,0.8841935447,0.9638278356,0.9459033647,0.0605733910,0.0056056056
105,mean,1.05,4,max,-1e-06,0.9209988649,0.8832203060,0.9648883403,0.9464858307,0.0607509116,0.0058071622
106,mean,1.0,5,max,-1e-06,0.9209412754,0.8830099514,0.9649908176,0.9465237444,0.0606930460,0.0058563205
107,mean,0.95,6,max,-1e-06,0.9209222535,0.8840179974,0.9638013344,0.9458232505,0.0608274748,0.0060717264
108,median,1.1,7,p99,-1e-06,0.9208651803,0.8789049068,0.9697908178,0.9492531015,0.0608943041,0.0054655870
109,p75,0.85,7,max,-1e-06,0.9208095364,0.8825568058,0.9655581224,0.9467263527,0.0623232654,0.0061046415
110,p25,0.95,4,max,-1e-06,0.9207652171,0.8819555256,0.9658180781,0.9469402772,0.0602465661,0.0038776829
